,discovery_time,crash_frames_hash
0,1218,89b37f8d743fe97579c6f6e939d9f2f0
1,1218,3b53cd9bd58d46c5884831e9de479c48
2,1241,4d6691919f8ba7cab2a6acc47a08f99f
3,1244,2a0a9d7aad2b24d6d1ae34abac41c7b4
4,1274,73c275fe9fd32af0da7f9f04820f181e
5,1274,8ee3ef2e3903cb0419f21d7fca0ce5f0
6,1276,c286f4ef28c75d8ff7147c42affd4a73
7,1279,374e048c6e3766ecc8c6379ee8a24480
8,1316,f94bf39e476988554edf01ee7d30201a
9,1380,2d5d5a1927f6bcb8ae6299c5c018cda0
10,1407,96cd8901e455d1a19000f69f2549dd50
11,1411,92aeacf93e08217a45d3976a945920a2
12,1414,e1c20d504bd2f23ad90478ace07ef2d9
13,1430,5753a5974858eb4e519e9a7b8ad5d7f5
