,discovery_id,discovery_fuzzer,discovery_fuzzer_name,fuzzer_type_description,discovery_time,testcase_hash,testcase_type_description,crash_id,crash_type,crash_frames_hash,sanitizer,fuzzer_combination,benchmark
2952,2102,52857953,afl-0-exid22,afl,627,3aab82cca344297849b31143749e72f9c16f3aebfa7fa00038ca5fde3a6430ab,crash,2952,SEGV,20342dca7c121d150537a553601f2cff,tsan,fcb,nm
682,2102,52857953,afl-0-exid22,afl,627,3aab82cca344297849b31143749e72f9c16f3aebfa7fa00038ca5fde3a6430ab,crash,682,SEGV,7eb8a033fb93be1a166b929b057f47e8,asan,fcb,nm
1512,2371,3281738096,fairfuzz-0-exid22,fairfuzz,708,866547709c04ac201bc2ea7398f87bd4359ab511fc2ef2ab42b399f006e238b2,crash,1512,SEGV,7eb8a033fb93be1a166b929b057f47e8,msan,fcb,nm
847,2706,3281738096,fairfuzz-0-exid22,fairfuzz,780,3a44fd781ce8269a5cb3ce8c8e48f95b6cdd99b8018c07bd3675bcdc8c884ba8,crash,847,SEGV,0c22f5df8527d37af8fb39cf84536a5f,asan,fcb,nm
1980,2706,3281738096,fairfuzz-0-exid22,fairfuzz,780,3a44fd781ce8269a5cb3ce8c8e48f95b6cdd99b8018c07bd3675bcdc8c884ba8,crash,1980,SEGV,0c22f5df8527d37af8fb39cf84536a5f,msan,fcb,nm
3116,2706,3281738096,fairfuzz-0-exid22,fairfuzz,780,3a44fd781ce8269a5cb3ce8c8e48f95b6cdd99b8018c07bd3675bcdc8c884ba8,crash,3116,SEGV,eb5d682f5a89e229ebd2b7426817c68a,tsan,fcb,nm
756,2973,3281738096,fairfuzz-0-exid22,fairfuzz,842,773e575273aacd9bd31de3af41d221aff26b2f35ffc749fd9bc88a202c8f209a,crash,756,SEGV,3b34085a6c59f7df3b1f34b996a4eacc,asan,fcb,nm
1892,2973,3281738096,fairfuzz-0-exid22,fairfuzz,842,773e575273aacd9bd31de3af41d221aff26b2f35ffc749fd9bc88a202c8f209a,crash,1892,SEGV,3b34085a6c59f7df3b1f34b996a4eacc,msan,fcb,nm
3026,2973,3281738096,fairfuzz-0-exid22,fairfuzz,842,773e575273aacd9bd31de3af41d221aff26b2f35ffc749fd9bc88a202c8f209a,crash,3026,SEGV,96f96aaa3e6be22754adfddb27164944,tsan,fcb,nm
3,3946,52857953,afl-0-exid22,afl,1179,1f6b9980e64273cbed59094cf0f865e9b6286ca60c4177a8ac744ddc220fb30e,crash,3,SEGV,31fdadb70cea93ae8e5fc42f7429577c,asan,fcb,nm
2307,3946,52857953,afl-0-exid22,afl,1179,1f6b9980e64273cbed59094cf0f865e9b6286ca60c4177a8ac744ddc220fb30e,crash,2307,SEGV,3eb5851e990e6e543e3861801339bdd6,tsan,fcb,nm
1200,3946,52857953,afl-0-exid22,afl,1179,1f6b9980e64273cbed59094cf0f865e9b6286ca60c4177a8ac744ddc220fb30e,crash,1200,SEGV,f0f342bb14e9e6e68dd08d6238202490,msan,fcb,nm
281,4072,3281738096,fairfuzz-0-exid22,fairfuzz,1237,a9aa52ca613a0b1cb4448fc88c3b05cef5779486114841e908b5c9513aad11bc,crash,281,SEGV,01b500657eb3eed1b45b5347a3832f6e,asan,fcb,nm
1458,4072,3281738096,fairfuzz-0-exid22,fairfuzz,1237,a9aa52ca613a0b1cb4448fc88c3b05cef5779486114841e908b5c9513aad11bc,crash,1458,SEGV,01b500657eb3eed1b45b5347a3832f6e,msan,fcb,nm
2574,4072,3281738096,fairfuzz-0-exid22,fairfuzz,1237,a9aa52ca613a0b1cb4448fc88c3b05cef5779486114841e908b5c9513aad11bc,crash,2574,SEGV,db49e5091659cea81ceb888e9e82108b,tsan,fcb,nm
420,4958,3281738096,fairfuzz-0-exid22,fairfuzz,1572,3b20d422ebe786c65c32ae90bffac77dbd773625521f2250bdf7dbd21e28d641,crash,420,SEGV,76963e8d3021a3a3740288656624dc7e,asan,fcb,nm
1583,4958,3281738096,fairfuzz-0-exid22,fairfuzz,1572,3b20d422ebe786c65c32ae90bffac77dbd773625521f2250bdf7dbd21e28d641,crash,1583,SEGV,e0c7e593bb81a6ff05eb77f65af7cc7c,msan,fcb,nm
2704,4958,3281738096,fairfuzz-0-exid22,fairfuzz,1572,3b20d422ebe786c65c32ae90bffac77dbd773625521f2250bdf7dbd21e28d641,crash,2704,SEGV,e0c7e593bb81a6ff05eb77f65af7cc7c,tsan,fcb,nm
2185,5221,3281738096,fairfuzz-0-exid22,fairfuzz,1671,9b4d952d482d7c0603a18ca9792cfba8b165dc416e6a27dc7c8f462e0fcf6b38,crash,2185,SEGV,404bda1b199064724efef5872299313a,msan,fcb,nm
1073,5221,3281738096,fairfuzz-0-exid22,fairfuzz,1671,9b4d952d482d7c0603a18ca9792cfba8b165dc416e6a27dc7c8f462e0fcf6b38,crash,1073,negative-size-param,822aa6c6e293b6234ac2dd3610e0eaf3,asan,fcb,nm
1687,5407,52857953,afl-0-exid22,afl,1743,7cb8d9e3792b600d2f62d61ebc2f0ebf3457a3e770f298eb79371f26c700aa78,crash,1687,SEGV,6128f51c6c406ea6fb7c22ab72995672,msan,fcb,nm
2808,5407,52857953,afl-0-exid22,afl,1743,7cb8d9e3792b600d2f62d61ebc2f0ebf3457a3e770f298eb79371f26c700aa78,crash,2808,SEGV,6128f51c6c406ea6fb7c22ab72995672,tsan,fcb,nm
530,5407,52857953,afl-0-exid22,afl,1743,7cb8d9e3792b600d2f62d61ebc2f0ebf3457a3e770f298eb79371f26c700aa78,crash,530,SEGV,cba4c4a26a9acbe4942b5a0f31f84451,asan,fcb,nm
2548,5666,3281738096,fairfuzz-0-exid22,fairfuzz,1865,e25e7639b8df38a564c68617414b8edb3c82969404cc705fb2154a0e58ce9ce8,crash,2548,SEGV,5792677fbbcd4b20faedab348e435279,tsan,fcb,nm
254,5666,3281738096,fairfuzz-0-exid22,fairfuzz,1865,e25e7639b8df38a564c68617414b8edb3c82969404cc705fb2154a0e58ce9ce8,crash,254,SEGV,dce33dd1e86fcd7160ed5a0ff73422ac,asan,fcb,nm
1433,5666,3281738096,fairfuzz-0-exid22,fairfuzz,1865,e25e7639b8df38a564c68617414b8edb3c82969404cc705fb2154a0e58ce9ce8,crash,1433,SEGV,dce33dd1e86fcd7160ed5a0ff73422ac,msan,fcb,nm
2044,6825,3281738096,fairfuzz-0-exid22,fairfuzz,2388,35b61ee497d5617bda0573d48c4d44efa8eb2059bdfca435a98a7f93f9cc4b3d,crash,2044,SEGV,0646f8dc98605131cbd13c096e45cad3,msan,fcb,nm
3185,6825,3281738096,fairfuzz-0-exid22,fairfuzz,2388,35b61ee497d5617bda0573d48c4d44efa8eb2059bdfca435a98a7f93f9cc4b3d,crash,3185,SEGV,0646f8dc98605131cbd13c096e45cad3,tsan,fcb,nm
916,6825,3281738096,fairfuzz-0-exid22,fairfuzz,2388,35b61ee497d5617bda0573d48c4d44efa8eb2059bdfca435a98a7f93f9cc4b3d,crash,916,SEGV,e962321310000bd8f0df569f7feedb44,asan,fcb,nm
735,6829,3281738096,fairfuzz-0-exid22,fairfuzz,2389,d8b389ff971cf566852e2a9157bb658ed63f750fae603bce1948687bdd9057dd,crash,735,SEGV,85d525a5ed697ac02f7bf45f82035839,asan,fcb,nm
1875,6829,3281738096,fairfuzz-0-exid22,fairfuzz,2389,d8b389ff971cf566852e2a9157bb658ed63f750fae603bce1948687bdd9057dd,crash,1875,SEGV,b684b91573dd0c7ddc4935ec8f3ba6a3,msan,fcb,nm
3005,6829,3281738096,fairfuzz-0-exid22,fairfuzz,2389,d8b389ff971cf566852e2a9157bb658ed63f750fae603bce1948687bdd9057dd,crash,3005,SEGV,b684b91573dd0c7ddc4935ec8f3ba6a3,tsan,fcb,nm
637,6830,3281738096,fairfuzz-0-exid22,fairfuzz,2389,28f94bcadc23e713dce5fcd8f86cb1d8d84cc248a755635c7f8d85f739be32e8,crash,637,SEGV,6cd47e5aebb4297df5acaba2b6b80a23,asan,fcb,nm
