,edges_count,time,experiment_id
0,109,0,1
1,130,1,1
2,152,2,1
3,168,3,1
4,192,4,1
5,248,5,1
6,280,6,1
7,321,7,1
8,362,8,1
9,392,9,1
10,409,10,1
11,424,11,1
12,437,12,1
13,444,13,1
14,464,14,1
15,477,15,1
16,496,16,1
17,501,17,1
18,517,18,1
19,549,19,1
20,558,20,1
21,586,21,1
22,603,22,1
23,608,23,1
24,632,24,1
25,655,25,1
26,678,26,1
27,689,27,1
28,706,28,1
29,718,29,1
30,745,30,1
31,750,31,1
32,759,32,1
33,765,33,1
34,770,34,1
35,785,35,1
36,793,36,1
37,797,37,1
38,804,38,1
39,821,39,1
40,827,40,1
41,831,41,1
42,844,42,1
43,862,43,1
44,868,44,1
45,881,45,1
46,890,46,1
47,901,47,1
48,912,48,1
49,918,49,1
50,925,50,1
51,931,51,1
52,934,52,1
53,938,53,1
54,939,54,1
55,940,55,1
56,947,56,1
57,955,57,1
58,967,58,1
59,973,59,1
60,980,60,1
61,985,61,1
62,988,62,1
63,994,63,1
64,1002,64,1
65,1014,65,1
66,1022,66,1
67,1033,67,1
68,1062,68,1
69,1079,69,1
70,1083,70,1
71,1101,71,1
72,1115,72,1
73,1121,73,1
74,1128,74,1
75,1133,75,1
76,1140,76,1
77,1146,77,1
78,1152,78,1
79,1157,79,1
80,1159,80,1
81,1159,81,1
82,1162,82,1
83,1170,83,1
84,1170,84,1
85,1173,85,1
86,1182,86,1
87,1188,87,1
88,1192,88,1
89,1192,89,1
90,1192,90,1
91,1193,91,1
92,1194,92,1
93,1196,93,1
94,1208,94,1
95,1210,95,1
96,1210,96,1
97,1212,97,1
98,1223,98,1
99,1226,99,1
100,1228,100,1
101,1229,101,1
102,1230,102,1
103,1234,103,1
104,1237,104,1
105,1238,105,1
106,1238,106,1
107,1238,107,1
108,1238,108,1
109,1238,109,1
110,1242,110,1
111,1244,111,1
112,1251,112,1
113,1259,113,1
114,1260,114,1
115,1267,115,1
116,1269,116,1
117,1271,117,1
118,1276,118,1
119,1279,119,1
120,1281,120,1
121,1289,121,1
122,1292,122,1
123,1294,123,1
124,1303,124,1
125,1307,125,1
126,1309,126,1
127,1313,127,1
128,1319,128,1
129,1321,129,1
130,1328,130,1
131,1338,131,1
132,1344,132,1
133,1348,133,1
134,1348,134,1
135,1349,135,1
136,1353,136,1
137,1360,137,1
138,1363,138,1
139,1366,139,1
140,1377,140,1
141,1377,141,1
142,1378,142,1
143,1381,143,1
144,1384,144,1
145,1387,145,1
146,1390,146,1
147,1393,147,1
148,1393,148,1
149,1394,149,1
150,1396,150,1
151,1399,151,1
152,1401,152,1
153,1404,153,1
154,1406,154,1
155,1406,155,1
156,1408,156,1
157,1408,157,1
158,1408,158,1
159,1408,159,1
160,1408,160,1
161,1410,161,1
162,1410,162,1
163,1411,163,1
164,1413,164,1
165,1414,165,1
166,1415,166,1
167,1416,167,1
168,1416,168,1
169,1416,169,1
170,1417,170,1
171,1418,171,1
172,1423,172,1
173,1424,173,1
174,1426,174,1
175,1426,175,1
176,1426,176,1
177,1428,177,1
178,1428,178,1
179,1429,179,1
180,1430,180,1
181,1434,181,1
182,1435,182,1
183,1435,183,1
184,1436,184,1
185,1437,185,1
186,1437,186,1
187,1439,187,1
188,1439,188,1
189,1441,189,1
190,1441,190,1
191,1442,191,1
192,1443,192,1
193,1444,193,1
194,1444,194,1
195,1444,195,1
196,1444,196,1
197,1444,197,1
198,1444,198,1
199,1444,199,1
200,1444,200,1
201,1444,201,1
202,1444,202,1
203,1444,203,1
204,1444,204,1
205,1444,205,1
206,1444,206,1
207,1446,207,1
208,1446,208,1
209,1446,209,1
210,1447,210,1
211,1447,211,1
212,1450,212,1
213,1458,213,1
214,1460,214,1
215,1461,215,1
216,1467,216,1
217,1468,217,1
218,1469,218,1
219,1475,219,1
220,1475,220,1
221,1475,221,1
222,1478,222,1
223,1479,223,1
224,1479,224,1
225,1479,225,1
226,1479,226,1
227,1485,227,1
228,1486,228,1
229,1486,229,1
230,1486,230,1
231,1489,231,1
232,1491,232,1
233,1492,233,1
234,1494,234,1
235,1502,235,1
236,1503,236,1
237,1507,237,1
238,1509,238,1
239,1511,239,1
240,1513,240,1
241,1515,241,1
242,1515,242,1
243,1517,243,1
244,1517,244,1
245,1517,245,1
246,1522,246,1
247,1524,247,1
248,1524,248,1
249,1524,249,1
250,1524,250,1
251,1524,251,1
252,1525,252,1
253,1525,253,1
254,1525,254,1
255,1525,255,1
256,1528,256,1
257,1529,257,1
258,1529,258,1
259,1529,259,1
260,1529,260,1
261,1530,261,1
262,1533,262,1
263,1534,263,1
264,1535,264,1
265,1535,265,1
266,1536,266,1
267,1537,267,1
268,1537,268,1
269,1537,269,1
270,1537,270,1
271,1537,271,1
272,1537,272,1
273,1537,273,1
274,1538,274,1
275,1539,275,1
276,1539,276,1
277,1539,277,1
278,1541,278,1
279,1541,279,1
280,1541,280,1
281,1543,281,1
282,1544,282,1
283,1544,283,1
284,1544,284,1
285,1544,285,1
286,1544,286,1
287,1546,287,1
288,1546,288,1
289,1548,289,1
290,1548,290,1
291,1548,291,1
292,1549,292,1
293,1552,293,1
294,1560,294,1
295,1560,295,1
296,1562,296,1
297,1562,297,1
298,1565,298,1
299,1565,299,1
300,1567,300,1
301,1567,301,1
302,1567,302,1
303,1567,303,1
304,1567,304,1
305,1568,305,1
306,1568,306,1
307,1569,307,1
308,1569,308,1
309,1570,309,1
310,1570,310,1
311,1570,311,1
312,1570,312,1
313,1570,313,1
314,1570,314,1
315,1570,315,1
316,1570,316,1
317,1570,317,1
318,1570,318,1
319,1570,319,1
320,1570,320,1
321,1571,321,1
322,1572,322,1
323,1576,323,1
324,1578,324,1
325,1578,325,1
326,1578,326,1
327,1580,327,1
328,1583,328,1
329,1584,329,1
330,1584,330,1
331,1587,331,1
332,1588,332,1
333,1588,333,1
334,1589,334,1
335,1591,335,1
336,1592,336,1
337,1592,337,1
338,1592,338,1
339,1593,339,1
340,1593,340,1
341,1593,341,1
342,1593,342,1
343,1593,343,1
344,1593,344,1
345,1593,345,1
346,1593,346,1
347,1593,347,1
348,1595,348,1
349,1596,349,1
350,1596,350,1
351,1596,351,1
352,1598,352,1
353,1598,353,1
354,1598,354,1
355,1600,355,1
356,1600,356,1
357,1604,357,1
358,1607,358,1
359,1608,359,1
360,1610,360,1
361,1610,361,1
362,1610,362,1
363,1610,363,1
364,1610,364,1
365,1610,365,1
366,1610,366,1
367,1611,367,1
368,1611,368,1
369,1613,369,1
370,1614,370,1
371,1614,371,1
372,1614,372,1
373,1614,373,1
374,1614,374,1
375,1614,375,1
376,1614,376,1
377,1615,377,1
378,1616,378,1
379,1617,379,1
380,1617,380,1
381,1617,381,1
382,1617,382,1
383,1617,383,1
384,1617,384,1
385,1617,385,1
386,1618,386,1
387,1618,387,1
388,1618,388,1
389,1618,389,1
390,1618,390,1
391,1618,391,1
392,1618,392,1
393,1619,393,1
394,1619,394,1
395,1619,395,1
396,1619,396,1
397,1619,397,1
398,1619,398,1
399,1619,399,1
400,1622,400,1
401,1623,401,1
402,1624,402,1
403,1624,403,1
404,1624,404,1
405,1624,405,1
406,1624,406,1
407,1624,407,1
408,1624,408,1
409,1625,409,1
410,1625,410,1
