,crash_id,discovery_time,fuzzer
298,bug298,9,mopt-0-exid2
1043,bug1043,24,symcc-0-exid2
124,bug124,24,symcc-0-exid2
374,bug374,26,fairfuzz-0-exid2
1266,bug1266,26,fairfuzz-0-exid2
357,bug357,27,fairfuzz-0-exid2
1250,bug1250,27,fairfuzz-0-exid2
827,bug827,37,symcc-0-exid2
401,bug401,37,symcc-0-exid2
13,bug13,42,symcc-0-exid2
941,bug941,42,symcc-0-exid2
346,bug346,78,aflplusplus-0-exid2
787,bug787,78,aflplusplus-0-exid2
359,bug359,79,fairfuzz-0-exid2
1252,bug1252,79,fairfuzz-0-exid2
297,bug297,122,fairfuzz-0-exid2
751,bug751,122,fairfuzz-0-exid2
662,bug662,164,fairfuzz-0-exid2
158,bug158,164,fairfuzz-0-exid2
320,bug320,228,mopt-0-exid2
769,bug769,228,mopt-0-exid2
753,bug753,254,fairfuzz-0-exid2
300,bug300,254,fairfuzz-0-exid2
423,bug423,255,mopt-0-exid2
479,bug479,288,fairfuzz-0-exid2
881,bug881,288,fairfuzz-0-exid2
411,bug411,288,fairfuzz-0-exid2
835,bug835,288,fairfuzz-0-exid2
543,bug543,288,fairfuzz-0-exid2
927,bug927,288,fairfuzz-0-exid2
326,bug326,324,mopt-0-exid2
287,bug287,327,mopt-0-exid2
1027,bug1027,417,fairfuzz-0-exid2
107,bug107,417,fairfuzz-0-exid2
251,bug251,461,fairfuzz-0-exid2
1158,bug1158,461,fairfuzz-0-exid2
70,bug70,476,fairfuzz-0-exid2
592,bug592,476,fairfuzz-0-exid2
518,bug518,476,fairfuzz-0-exid2
907,bug907,476,fairfuzz-0-exid2
885,bug885,501,fairfuzz-0-exid2
485,bug485,501,fairfuzz-0-exid2
1073,bug1073,540,fairfuzz-0-exid2
157,bug157,540,fairfuzz-0-exid2
1008,bug1008,635,mopt-0-exid2
86,bug86,635,mopt-0-exid2
605,bug605,635,mopt-0-exid2
1000,bug1000,712,fairfuzz-0-exid2
78,bug78,712,fairfuzz-0-exid2
1075,bug1075,818,fairfuzz-0-exid2
160,bug160,818,fairfuzz-0-exid2
425,bug425,830,fairfuzz-0-exid2
508,bug508,870,symcc-0-exid2
1390,bug1390,870,symcc-0-exid2
238,bug238,896,fairfuzz-0-exid2
1146,bug1146,896,fairfuzz-0-exid2
258,bug258,934,symcc-0-exid2
731,bug731,934,symcc-0-exid2
1428,bug1428,934,symcc-0-exid2
1164,bug1164,934,symcc-0-exid2
1047,bug1047,1019,fairfuzz-0-exid2
130,bug130,1019,fairfuzz-0-exid2
1239,bug1239,1026,symcc-0-exid2
345,bug345,1026,symcc-0-exid2
188,bug188,1036,symcc-0-exid2
681,bug681,1036,symcc-0-exid2
198,bug198,1037,symcc-0-exid2
1110,bug1110,1037,symcc-0-exid2
413,bug413,1038,symcc-0-exid2
1301,bug1301,1038,symcc-0-exid2
846,bug846,1054,mopt-0-exid2
426,bug426,1054,mopt-0-exid2
1113,bug1113,1078,fairfuzz-0-exid2
201,bug201,1078,fairfuzz-0-exid2
202,bug202,1112,fairfuzz-0-exid2
1114,bug1114,1112,fairfuzz-0-exid2
216,bug216,1192,symcc-0-exid2
1127,bug1127,1192,symcc-0-exid2
496,bug496,1232,fairfuzz-0-exid2
1380,bug1380,1232,fairfuzz-0-exid2
502,bug502,1236,symcc-0-exid2
1384,bug1384,1236,symcc-0-exid2
356,bug356,1256,mopt-0-exid2
40,bug40,1292,fairfuzz-0-exid2
371,bug371,1302,fairfuzz-0-exid2
806,bug806,1302,fairfuzz-0-exid2
109,bug109,1305,symcc-0-exid2
1029,bug1029,1305,symcc-0-exid2
624,bug624,1305,symcc-0-exid2
179,bug179,1377,mopt-0-exid2
1092,bug1092,1377,mopt-0-exid2
1326,bug1326,1377,symcc-0-exid2
440,bug440,1377,symcc-0-exid2
273,bug273,1409,mopt-0-exid2
