,discovery_id,discovery_fuzzer,discovery_fuzzer_name,fuzzer_type_description,discovery_time,testcase_hash,testcase_type_description,crash_id,crash_type,crash_frames_hash,sanitizer,fuzzer_combination,benchmark
447,3387,3426688137,aflfast-0-exid20,aflfast,1333,5982af11d353e04f9b810e3a267e2367e139e90d21c39c4b8358a01432cb2fac,crash,447,SEGV,3b34085a6c59f7df3b1f34b996a4eacc,asan,fcb,nm
1885,3387,3426688137,aflfast-0-exid20,aflfast,1333,5982af11d353e04f9b810e3a267e2367e139e90d21c39c4b8358a01432cb2fac,crash,1885,SEGV,3b34085a6c59f7df3b1f34b996a4eacc,msan,fcb,nm
3281,3387,3426688137,aflfast-0-exid20,aflfast,1333,5982af11d353e04f9b810e3a267e2367e139e90d21c39c4b8358a01432cb2fac,crash,3281,SEGV,96f96aaa3e6be22754adfddb27164944,tsan,fcb,nm
4166,3690,3426688137,aflfast-0-exid20,aflfast,1464,8052fab2fc4e08868f8e389693e7579f7a2b328d3a8e18edc1fd5045517c1813,crash,4166,SEGV,0f44695389213eaaa9d22f82e4a1bbdc,tsan,fcb,nm
1332,3690,3426688137,aflfast-0-exid20,aflfast,1464,8052fab2fc4e08868f8e389693e7579f7a2b328d3a8e18edc1fd5045517c1813,crash,1332,SEGV,189d3af2d351e4a957a2cdee6427f4fd,asan,fcb,nm
2710,3690,3426688137,aflfast-0-exid20,aflfast,1464,8052fab2fc4e08868f8e389693e7579f7a2b328d3a8e18edc1fd5045517c1813,crash,2710,SEGV,189d3af2d351e4a957a2cdee6427f4fd,msan,fcb,nm
3244,3766,3426688137,aflfast-0-exid20,aflfast,1507,cf981908c4f8127828241c122943b292dfe3ea8ede1dfb48a28810a3cf17ac4e,crash,3244,SEGV,20342dca7c121d150537a553601f2cff,tsan,fcb,nm
409,3766,3426688137,aflfast-0-exid20,aflfast,1507,cf981908c4f8127828241c122943b292dfe3ea8ede1dfb48a28810a3cf17ac4e,crash,409,SEGV,7eb8a033fb93be1a166b929b057f47e8,asan,fcb,nm
1850,3766,3426688137,aflfast-0-exid20,aflfast,1507,cf981908c4f8127828241c122943b292dfe3ea8ede1dfb48a28810a3cf17ac4e,crash,1850,SEGV,7eb8a033fb93be1a166b929b057f47e8,msan,fcb,nm
357,4478,3124029781,fairfuzz-0-exid20,fairfuzz,1906,21aed19d7a5fe611655aa73d8b1c0391e178e08a81286c6bf146197b895dc7cb,crash,357,SEGV,50b003deb4b331c44241db4cea752ee4,asan,fcb,nm
1802,4478,3124029781,fairfuzz-0-exid20,fairfuzz,1906,21aed19d7a5fe611655aa73d8b1c0391e178e08a81286c6bf146197b895dc7cb,crash,1802,SEGV,50b003deb4b331c44241db4cea752ee4,msan,fcb,nm
3192,4478,3124029781,fairfuzz-0-exid20,fairfuzz,1906,21aed19d7a5fe611655aa73d8b1c0391e178e08a81286c6bf146197b895dc7cb,crash,3192,SEGV,7dd30d6c4aa394cae217d6922a082550,tsan,fcb,nm
986,5061,4155711769,afl-0-exid20,afl,2231,37cf909549d37e65ec9ac368b76dd0d297ba72c842c48e1c8a610a28ccf8f4bd,crash,986,SEGV,38437eee2d9c701de96336291632678f,asan,fcb,nm
2385,5061,4155711769,afl-0-exid20,afl,2231,37cf909549d37e65ec9ac368b76dd0d297ba72c842c48e1c8a610a28ccf8f4bd,crash,2385,SEGV,e6d7a1d059817b81e9924cd15c91399b,msan,fcb,nm
3820,5061,4155711769,afl-0-exid20,afl,2231,37cf909549d37e65ec9ac368b76dd0d297ba72c842c48e1c8a610a28ccf8f4bd,crash,3820,SEGV,e6d7a1d059817b81e9924cd15c91399b,tsan,fcb,nm
1935,5083,4155711769,afl-0-exid20,afl,2243,f747818a5d1a3cecdb2b717f9ea9082734ee9cc0868e6a7089ec4d16cd0cfae2,crash,1935,SEGV,0646f8dc98605131cbd13c096e45cad3,msan,fcb,nm
