,fuzzer,edges_count,time
0,fuzzer_global,19,0
1,fuzzer_global,19,1
2,fuzzer_global,19,2
3,fuzzer_global,19,3
4,fuzzer_global,19,4
5,fuzzer_global,19,5
6,fuzzer_global,19,6
7,fuzzer_global,19,7
8,fuzzer_global,20,8
9,fuzzer_global,32,9
10,fuzzer_global,41,10
11,fuzzer_global,49,11
12,fuzzer_global,51,12
13,fuzzer_global,52,13
14,fuzzer_global,90,14
15,fuzzer_global,194,15
16,fuzzer_global,282,16
17,fuzzer_global,320,17
18,fuzzer_global,352,18
19,fuzzer_global,376,19
20,fuzzer_global,392,20
21,fuzzer_global,403,21
22,fuzzer_global,417,22
23,fuzzer_global,428,23
24,fuzzer_global,452,24
25,fuzzer_global,473,25
26,fuzzer_global,488,26
27,fuzzer_global,502,27
28,fuzzer_global,578,28
29,fuzzer_global,641,29
30,fuzzer_global,770,30
31,fuzzer_global,800,31
32,fuzzer_global,871,32
33,fuzzer_global,953,33
34,fuzzer_global,1055,34
35,fuzzer_global,1095,35
36,fuzzer_global,1124,36
37,fuzzer_global,1135,37
38,fuzzer_global,1171,38
39,fuzzer_global,1216,39
40,fuzzer_global,1335,40
41,fuzzer_global,1420,41
42,fuzzer_global,1480,42
43,fuzzer_global,1525,43
44,fuzzer_global,1551,44
45,fuzzer_global,1553,45
46,fuzzer_global,1559,46
47,fuzzer_global,1625,47
48,fuzzer_global,1627,48
49,fuzzer_global,1688,49
50,fuzzer_global,1716,50
51,fuzzer_global,1806,51
52,fuzzer_global,1830,52
53,fuzzer_global,1833,53
54,fuzzer_global,1833,54
55,fuzzer_global,1860,55
56,fuzzer_global,1861,56
57,fuzzer_global,1862,57
58,fuzzer_global,1864,58
59,fuzzer_global,1864,59
60,fuzzer_global,1864,60
61,fuzzer_global,1865,61
62,fuzzer_global,1865,62
63,fuzzer_global,1868,63
64,fuzzer_global,1869,64
65,fuzzer_global,1870,65
66,fuzzer_global,1872,66
67,fuzzer_global,1873,67
68,fuzzer_global,1875,68
69,fuzzer_global,1885,69
70,fuzzer_global,1889,70
71,fuzzer_global,1890,71
72,fuzzer_global,1890,72
73,fuzzer_global,1893,73
74,fuzzer_global,1893,74
75,fuzzer_global,1893,75
76,fuzzer_global,1894,76
77,fuzzer_global,1894,77
78,fuzzer_global,1926,78
79,fuzzer_global,1928,79
80,fuzzer_global,1972,80
81,fuzzer_global,1982,81
82,fuzzer_global,1983,82
83,fuzzer_global,1987,83
84,fuzzer_global,1987,84
85,fuzzer_global,1987,85
86,fuzzer_global,1988,86
87,fuzzer_global,1989,87
88,fuzzer_global,1989,88
89,fuzzer_global,1989,89
90,fuzzer_global,1989,90
91,fuzzer_global,1989,91
92,fuzzer_global,1989,92
93,fuzzer_global,1990,93
94,fuzzer_global,1990,94
95,fuzzer_global,2002,95
96,fuzzer_global,2002,96
97,fuzzer_global,2005,97
98,fuzzer_global,2006,98
99,fuzzer_global,2007,99
100,fuzzer_global,2016,100
101,fuzzer_global,2020,101
102,fuzzer_global,2021,102
103,fuzzer_global,2022,103
104,fuzzer_global,2035,104
105,fuzzer_global,2053,105
106,fuzzer_global,2054,106
107,fuzzer_global,2054,107
108,fuzzer_global,2055,108
109,fuzzer_global,2055,109
110,fuzzer_global,2055,110
111,fuzzer_global,2055,111
112,fuzzer_global,2064,112
113,fuzzer_global,2066,113
114,fuzzer_global,2068,114
115,fuzzer_global,2069,115
116,fuzzer_global,2069,116
117,fuzzer_global,2080,117
118,fuzzer_global,2081,118
119,fuzzer_global,2081,119
120,fuzzer_global,2083,120
121,fuzzer_global,2083,121
122,fuzzer_global,2086,122
123,fuzzer_global,2086,123
124,fuzzer_global,2087,124
125,fuzzer_global,2089,125
126,fuzzer_global,2090,126
127,fuzzer_global,2091,127
128,fuzzer_global,2091,128
129,fuzzer_global,2098,129
130,fuzzer_global,2102,130
131,fuzzer_global,2110,131
132,fuzzer_global,2110,132
133,fuzzer_global,2113,133
134,fuzzer_global,2127,134
135,fuzzer_global,2129,135
136,fuzzer_global,2132,136
137,fuzzer_global,2136,137
138,fuzzer_global,2136,138
139,fuzzer_global,2140,139
140,fuzzer_global,2140,140
141,fuzzer_global,2144,141
142,fuzzer_global,2144,142
143,fuzzer_global,2144,143
144,fuzzer_global,2144,144
145,fuzzer_global,2144,145
146,fuzzer_global,2145,146
147,fuzzer_global,2146,147
148,fuzzer_global,2148,148
149,fuzzer_global,2148,149
150,fuzzer_global,2151,150
151,fuzzer_global,2151,151
152,fuzzer_global,2152,152
153,fuzzer_global,2154,153
154,fuzzer_global,2154,154
155,fuzzer_global,2156,155
156,fuzzer_global,2156,156
157,fuzzer_global,2156,157
158,fuzzer_global,2157,158
159,fuzzer_global,2157,159
160,fuzzer_global,2157,160
161,fuzzer_global,2160,161
162,fuzzer_global,2167,162
163,fuzzer_global,2168,163
164,fuzzer_global,2168,164
165,fuzzer_global,2168,165
166,fuzzer_global,2168,166
167,fuzzer_global,2168,167
168,fuzzer_global,2168,168
169,fuzzer_global,2168,169
170,fuzzer_global,2168,170
171,fuzzer_global,2168,171
172,fuzzer_global,2168,172
173,fuzzer_global,2168,173
174,fuzzer_global,2168,174
175,fuzzer_global,2168,175
176,fuzzer_global,2168,176
177,fuzzer_global,2169,177
178,fuzzer_global,2169,178
179,fuzzer_global,2169,179
180,fuzzer_global,2173,180
181,fuzzer_global,2175,181
182,fuzzer_global,2175,182
183,fuzzer_global,2177,183
184,fuzzer_global,2177,184
185,fuzzer_global,2178,185
186,fuzzer_global,2178,186
187,fuzzer_global,2179,187
188,fuzzer_global,2182,188
189,fuzzer_global,2183,189
190,fuzzer_global,2186,190
191,fuzzer_global,2186,191
192,fuzzer_global,2187,192
193,fuzzer_global,2191,193
194,fuzzer_global,2194,194
195,fuzzer_global,2195,195
196,fuzzer_global,2196,196
197,fuzzer_global,2197,197
198,fuzzer_global,2200,198
199,fuzzer_global,2200,199
200,fuzzer_global,2201,200
201,fuzzer_global,2202,201
202,fuzzer_global,2206,202
203,fuzzer_global,2207,203
204,fuzzer_global,2208,204
205,fuzzer_global,2210,205
206,fuzzer_global,2212,206
207,fuzzer_global,2213,207
208,fuzzer_global,2216,208
209,fuzzer_global,2216,209
210,fuzzer_global,2216,210
