,discovery_id,discovery_time,crash_frames_hash,count
0,670,2,76963e8d3021a3a3740288656624dc7e,0.05
1,670,2,e0c7e593bb81a6ff05eb77f65af7cc7c,0.1
2,975,4,ac97f97bc7c486825473741fc4d88548,0.15
3,975,4,cd65f36d3a2669d55a4f7c4695ddb7cf,0.2
4,975,4,f0f342bb14e9e6e68dd08d6238202490,0.25
5,2065,6,0f44695389213eaaa9d22f82e4a1bbdc,0.3
6,2065,6,189d3af2d351e4a957a2cdee6427f4fd,0.35
7,1574,6,0646f8dc98605131cbd13c096e45cad3,0.4
8,1574,6,e962321310000bd8f0df569f7feedb44,0.45
9,1587,6,6128f51c6c406ea6fb7c22ab72995672,0.5
10,1587,6,cba4c4a26a9acbe4942b5a0f31f84451,0.55
11,1596,6,6cd47e5aebb4297df5acaba2b6b80a23,0.6
12,1596,6,884ec7d3390930225f967542efadb816,0.65
13,1604,6,b684b91573dd0c7ddc4935ec8f3ba6a3,0.7
14,1604,6,85d525a5ed697ac02f7bf45f82035839,0.75
15,1656,6,0ab214692ecb89468e279d02fe53320c,0.8
16,1716,6,76963e8d3021a3a3740288656624dc7e,0.85
17,1716,6,e0c7e593bb81a6ff05eb77f65af7cc7c,0.9
18,1656,6,036970cadbf3539a826ad22b62f77d20,0.95
19,1342,7,96f96aaa3e6be22754adfddb27164944,1.0
20,1157,7,7eb8a033fb93be1a166b929b057f47e8,1.05
21,1157,7,20342dca7c121d150537a553601f2cff,1.1
22,1913,7,0f44695389213eaaa9d22f82e4a1bbdc,1.15
23,1913,7,189d3af2d351e4a957a2cdee6427f4fd,1.2
24,1342,7,3b34085a6c59f7df3b1f34b996a4eacc,1.25
25,1745,8,2d91054c9de94c5eca7ef99745635aa8,1.3
26,2104,8,5130600714e96c95bd2bccd69d07f496,1.35
27,1745,8,b71cb45c0e69aebbecc7a064fa470eeb,1.4
28,2104,8,32792956b9c80ab5079b134198ca61b8,1.45
29,1745,8,cd1441e8dfe39c370ba2732fdd1f4b4f,1.5
30,1932,9,96f96aaa3e6be22754adfddb27164944,1.55
31,1932,9,3b34085a6c59f7df3b1f34b996a4eacc,1.6
32,1904,9,7eb8a033fb93be1a166b929b057f47e8,1.65
33,1904,9,20342dca7c121d150537a553601f2cff,1.7
34,1944,9,2d91054c9de94c5eca7ef99745635aa8,1.75
35,1944,9,b71cb45c0e69aebbecc7a064fa470eeb,1.8
36,1944,9,cd1441e8dfe39c370ba2732fdd1f4b4f,1.85
37,2137,10,d68ef8a660bb62fd4346463a27e8b6bb,1.9
38,2045,10,0ab214692ecb89468e279d02fe53320c,1.95
39,2102,10,7eb8a033fb93be1a166b929b057f47e8,2.0
40,2102,10,20342dca7c121d150537a553601f2cff,2.05
41,2471,10,822aa6c6e293b6234ac2dd3610e0eaf3,2.1
42,2471,10,404bda1b199064724efef5872299313a,2.15
43,2045,10,036970cadbf3539a826ad22b62f77d20,2.2
44,2137,10,217e3f6c0ab4aacc1417e41707b79cd2,2.25
45,2204,11,6128f51c6c406ea6fb7c22ab72995672,2.3
46,2204,11,cba4c4a26a9acbe4942b5a0f31f84451,2.35
47,2249,11,64f3eee2c7b2e4594b050aa702a3f154,2.4
48,2909,11,96f96aaa3e6be22754adfddb27164944,2.45
49,2909,11,3b34085a6c59f7df3b1f34b996a4eacc,2.5
50,2864,11,7eb8a033fb93be1a166b929b057f47e8,2.55
51,2864,11,20342dca7c121d150537a553601f2cff,2.6
52,2249,11,51ea19cf3cdd0032322d439a97abf293,2.65
53,3114,12,31fdadb70cea93ae8e5fc42f7429577c,2.7
54,3114,12,3eb5851e990e6e543e3861801339bdd6,2.75
55,3114,12,f0f342bb14e9e6e68dd08d6238202490,2.8
56,3194,12,7eb8a033fb93be1a166b929b057f47e8,2.85
57,3194,12,20342dca7c121d150537a553601f2cff,2.9
58,2295,12,85d525a5ed697ac02f7bf45f82035839,2.95
59,2295,12,b684b91573dd0c7ddc4935ec8f3ba6a3,3.0
60,2347,12,0ab214692ecb89468e279d02fe53320c,3.05
61,2298,12,e0c7e593bb81a6ff05eb77f65af7cc7c,3.1
62,2347,12,036970cadbf3539a826ad22b62f77d20,3.15
63,2341,12,5130600714e96c95bd2bccd69d07f496,3.2
64,2298,12,76963e8d3021a3a3740288656624dc7e,3.25
65,2336,12,cba4c4a26a9acbe4942b5a0f31f84451,3.3
66,2336,12,6128f51c6c406ea6fb7c22ab72995672,3.35
67,2334,12,884ec7d3390930225f967542efadb816,3.4
68,2341,12,32792956b9c80ab5079b134198ca61b8,3.45
69,2334,12,6cd47e5aebb4297df5acaba2b6b80a23,3.5
70,2319,12,0646f8dc98605131cbd13c096e45cad3,3.55
71,2319,12,e962321310000bd8f0df569f7feedb44,3.6
72,3360,13,0646f8dc98605131cbd13c096e45cad3,3.65
73,3264,13,ac97f97bc7c486825473741fc4d88548,3.7
74,3181,13,5ae32016c91ba99ef4545e0f2a6c42dd,3.75
75,3364,13,5130600714e96c95bd2bccd69d07f496,3.8
76,3181,13,e47d8c0bac54f00eadd6e1e2e3662c65,3.85
77,2870,13,f0f342bb14e9e6e68dd08d6238202490,3.9
78,2947,13,31fdadb70cea93ae8e5fc42f7429577c,3.95
79,3478,13,822aa6c6e293b6234ac2dd3610e0eaf3,4.0
80,3478,13,404bda1b199064724efef5872299313a,4.05
81,3360,13,e962321310000bd8f0df569f7feedb44,4.1
82,2706,13,eb5d682f5a89e229ebd2b7426817c68a,4.15
83,2870,13,ac97f97bc7c486825473741fc4d88548,4.2
84,2870,13,cd65f36d3a2669d55a4f7c4695ddb7cf,4.25
85,2947,13,3eb5851e990e6e543e3861801339bdd6,4.3
86,2706,13,0c22f5df8527d37af8fb39cf84536a5f,4.35
87,3364,13,32792956b9c80ab5079b134198ca61b8,4.4
88,3690,14,96f96aaa3e6be22754adfddb27164944,4.45
89,3709,14,355864b311673634226216ec29214457,4.5
90,3703,14,fd034a6edf6c2fa2bf0cf8afe6ed5cf5,4.55
91,3703,14,29c9bea4133ee9c945c5692f13ce2abb,4.6
92,2973,14,3b34085a6c59f7df3b1f34b996a4eacc,4.65
93,3690,14,3b34085a6c59f7df3b1f34b996a4eacc,4.7
94,3064,14,7eb8a033fb93be1a166b929b057f47e8,4.75
95,3709,14,e7e1ccf245a89c564af22a5f0cbd2336,4.8
96,2973,14,96f96aaa3e6be22754adfddb27164944,4.85
97,3064,14,20342dca7c121d150537a553601f2cff,4.9
98,3186,14,189d3af2d351e4a957a2cdee6427f4fd,4.95
99,2840,14,b684b91573dd0c7ddc4935ec8f3ba6a3,5.0
100,3186,14,0f44695389213eaaa9d22f82e4a1bbdc,5.05
101,2840,14,85d525a5ed697ac02f7bf45f82035839,5.1
102,3475,15,20342dca7c121d150537a553601f2cff,5.15
