,discovery_id,discovery_fuzzer,discovery_fuzzer_name,fuzzer_type_description,discovery_time,testcase_hash,testcase_type_description,crash_id,crash_type,crash_frames_hash,sanitizer
883,5346,4281915644,symcc-0-exid0,symcc,2002,9d8e83635e429cb0ca9edac85d61940ef53f1b4bdf2c060f7e386d1cc7de5a1d,crash,883,SEGV,242466f34bd61f7c5b79a168dbd25c63,tsan
191,5346,4281915644,symcc-0-exid0,symcc,2002,9d8e83635e429cb0ca9edac85d61940ef53f1b4bdf2c060f7e386d1cc7de5a1d,crash,191,heap-buffer-overflow,99fad7a3b490f7d3d7fc13b4db848e11,asan
1038,5570,4281915644,symcc-0-exid0,symcc,2222,629505a32d852ee7989f145c8b9385bac1a8f13b97542fbb1661754b1409a64d,crash,1038,SEGV,2240f99b7364454196a6e7fac2028d2b,tsan
18,5644,1853576469,mopt-0-exid0,mopt,2325,c2f708a90bc46bdb4a18ff7eea52f5d509551517f18e38534d6822631b9026e5,crash,18,heap-use-after-free,9c74ce5d00fb534a6644db103f1bfe0b,asan
1000,6168,4100527658,fairfuzz-0-exid0,fairfuzz,4134,601b7cced0fae57dd52df486a569fcb8f5b774a67240bf17da2afbff02cb779f,crash,1000,SEGV,242466f34bd61f7c5b79a168dbd25c63,tsan
312,6168,4100527658,fairfuzz-0-exid0,fairfuzz,4134,601b7cced0fae57dd52df486a569fcb8f5b774a67240bf17da2afbff02cb779f,crash,312,heap-buffer-overflow,99fad7a3b490f7d3d7fc13b4db848e11,asan
1059,6239,1853576469,mopt-0-exid0,mopt,4235,5628b22f76564aaf840dfb78a5647a62502355a615fc6901e45780326cf9019a,crash,1059,SEGV,242466f34bd61f7c5b79a168dbd25c63,tsan
373,6239,1853576469,mopt-0-exid0,mopt,4235,5628b22f76564aaf840dfb78a5647a62502355a615fc6901e45780326cf9019a,crash,373,heap-buffer-overflow,99fad7a3b490f7d3d7fc13b4db848e11,asan
915,6311,1853576469,mopt-0-exid0,mopt,4372,ad7251fa3ed45e8cef9b49b3d01bd24758a8dc1132e3f942225c6df77d178593,crash,915,SEGV,2240f99b7364454196a6e7fac2028d2b,tsan
1380,6544,1853576469,mopt-0-exid0,mopt,4953,0933304aab87543cc17104e8ccd19e9771645284c4a11cae21b8be1ec3e505a2,crash,1380,SEGV,b6805236842427b48c7aaccd83dca7b7,ubsan
1179,6551,2274552184,aflplusplus-0-exid0,aflplusplus,4974,4cabec9137965ed48385ce9facfb01b3cc6d6c3ddda1b7e610f78f24f386d433,crash,1179,SEGV,242466f34bd61f7c5b79a168dbd25c63,tsan
497,6551,2274552184,aflplusplus-0-exid0,aflplusplus,4974,4cabec9137965ed48385ce9facfb01b3cc6d6c3ddda1b7e610f78f24f386d433,crash,497,heap-buffer-overflow,99fad7a3b490f7d3d7fc13b4db848e11,asan
1294,6876,4100527658,fairfuzz-0-exid0,fairfuzz,6075,57aae1ae38e7ba5f518a6aa17576ff413ef26c0f708692af1ba73acaaec0f8ec,crash,1294,SEGV,2240f99b7364454196a6e7fac2028d2b,tsan
1383,7113,4281915644,symcc-0-exid0,symcc,7180,8074121e8690a52841fe1bf03221735870d4d3089f6b45ec3685721865030025,crash,1383,SEGV,dc932f8b8003795cf9d4cf9e58604b99,ubsan
503,7113,4281915644,symcc-0-exid0,symcc,7180,8074121e8690a52841fe1bf03221735870d4d3089f6b45ec3685721865030025,crash,503,heap-use-after-free,9c74ce5d00fb534a6644db103f1bfe0b,asan
1093,7234,2274552184,aflplusplus-0-exid0,aflplusplus,7703,cfeebc4cd1e38bcfec30c90c6aa2b167d908dde3c0336a0073fa6a87f8be37f5,crash,1093,SEGV,2240f99b7364454196a6e7fac2028d2b,tsan
1116,7308,4281915644,symcc-0-exid0,symcc,8269,baef40a53e566ef4eefea0ba5f9ec1da8dff653476f06df46b5be37f9d3f4e51,crash,1116,SEGV,ef18311e55235156d43317cf16f5eb92,tsan
422,7710,1853576469,mopt-0-exid0,mopt,10460,538c93d77e957e05a88004048aecc9962ce1c36df15235b9c40b58292fcf3e67,crash,422,heap-use-after-free,bf39470c4385d389d7814248ff4d17c1,asan
308,10312,1853576469,mopt-0-exid0,mopt,37573,9654b2c546492a763f98423348f07d78423763c044647cb43f49c8b8f8a6db04,crash,308,heap-buffer-overflow,333b4b08bdbba43f4ade91fe58aa064e,asan
1382,11340,4100527658,fairfuzz-0-exid0,fairfuzz,64210,61d72bb2c1c60b8c85e567899c62e440a00ecd6b8b3bdfa651cd896fe5a96917,crash,1382,SEGV,dc932f8b8003795cf9d4cf9e58604b99,ubsan
341,11340,4100527658,fairfuzz-0-exid0,fairfuzz,64210,61d72bb2c1c60b8c85e567899c62e440a00ecd6b8b3bdfa651cd896fe5a96917,crash,341,heap-use-after-free,9c74ce5d00fb534a6644db103f1bfe0b,asan
