,crash_id,discovery_time,fuzzer
145,bug145,12,mopt-0-exid2
95,bug95,18,fairfuzz-0-exid2
473,bug473,18,fairfuzz-0-exid2
361,bug361,18,fairfuzz-0-exid2
645,bug645,18,fairfuzz-0-exid2
277,bug277,18,fairfuzz-0-exid2
589,bug589,18,fairfuzz-0-exid2
527,bug527,18,fairfuzz-0-exid2
177,bug177,18,fairfuzz-0-exid2
603,bug603,23,symcc-0-exid2
293,bug293,23,symcc-0-exid2
407,bug407,145,symcc-0-exid2
672,bug672,145,symcc-0-exid2
134,bug134,145,symcc-0-exid2
498,bug498,145,symcc-0-exid2
274,bug274,157,mopt-0-exid2
757,bug757,168,fairfuzz-0-exid2
132,bug132,168,fairfuzz-0-exid2
122,bug122,168,fairfuzz-0-exid2
750,bug750,168,fairfuzz-0-exid2
746,bug746,168,fairfuzz-0-exid2
118,bug118,168,fairfuzz-0-exid2
406,bug406,239,mopt-0-exid2
154,bug154,275,fairfuzz-0-exid2
512,bug512,275,fairfuzz-0-exid2
133,bug133,387,mopt-0-exid2
150,bug150,452,symcc-0-exid2
769,bug769,452,symcc-0-exid2
125,bug125,456,fairfuzz-0-exid2
752,bug752,456,fairfuzz-0-exid2
305,bug305,485,symcc-0-exid2
412,bug412,493,fairfuzz-0-exid2
934,bug934,493,fairfuzz-0-exid2
766,bug766,526,fairfuzz-0-exid2
144,bug144,526,fairfuzz-0-exid2
476,bug476,569,fairfuzz-0-exid2
737,bug737,569,fairfuzz-0-exid2
99,bug99,569,fairfuzz-0-exid2
398,bug398,572,fairfuzz-0-exid2
666,bug666,572,fairfuzz-0-exid2
167,bug167,572,fairfuzz-0-exid2
127,bug127,575,symcc-0-exid2
493,bug493,575,symcc-0-exid2
338,bug338,732,mopt-0-exid2
893,bug893,732,mopt-0-exid2
248,bug248,742,mopt-0-exid2
477,bug477,743,fairfuzz-0-exid2
146,bug146,886,mopt-0-exid2
160,bug160,886,mopt-0-exid2
904,bug904,898,fairfuzz-0-exid2
360,bug360,898,fairfuzz-0-exid2
655,bug655,1230,symcc-0-exid2
374,bug374,1230,symcc-0-exid2
915,bug915,1230,symcc-0-exid2
344,bug344,1368,fairfuzz-0-exid2
898,bug898,1368,fairfuzz-0-exid2
845,bug845,1413,aflplusplus-0-exid2
269,bug269,1413,aflplusplus-0-exid2
585,bug585,1413,aflplusplus-0-exid2
